,name,radius,latitude,longitude
0, الوادي الجديد ,374.24,23.9802763,27.7269966
1, مطروح ,230.26,29.9387816,26.4894728
2, البحر الأحمر ,194.71,24.6601831,34.1399929
3, أسوان ,141.3,24.091071,32.897306
4, المنيا ,101.36,28.2125404,30.9123741
5, جنوب سيناء ,99.77,29.2076755,33.8119441
6, شمال سيناء ,96.06,30.5903474,33.7052032
7, أسيوط ,90.84,27.1868641,31.1716218
8, الجيزة ,64.78,29.0540357,29.4190807
9, سوهاج ,59.76,26.7624628,32.0909936
10, بني سويف ,59.05,28.8382688,30.8544768
11, قنا ,58.63,26.0105579,33.1299211
12, البحيرة ,55.93,30.7915206,30.3465488
13, السويس ,53.53,29.974498,32.537086
14, الفيوم ,43.95,29.340737,30.6201045
15, الاسماعيلية ,40.16,30.3671977,32.1565462
16, الشرقية ,39.54,30.6332775,31.7893739
17, الدقهلية ,33.56,31.1380046,31.8882499
18, كفر الشيخ ,33.22,31.3814765,30.8513566
19, القاهرة ,31.34,30.0352073,31.5633702
20, المنوفية ,28.2,30.4370098,30.7466852
21, الأقصر ,27.7,25.702096,32.647186
22, الإسكندرية ,27.06,31.199004,29.894378
23, الغربية ,24.86,30.8393003,30.9963429
24, بور سعيد ,20.69,31.263235,32.305505
25, القليوبية ,18.92,30.3336293,31.2213569
26, دمياط ,17.02,31.4167427,31.8213657
